,Group,Subgroup,Low,High,Modifier
0,Anesthesia,Anesthesia for Procedures on the Head,100,222,
1,Anesthesia,Anesthesia for Procedures on the Neck,300,352,
2,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),400,474,
3,Anesthesia,Anesthesia for Intrathoracic Procedures,500,580,
4,Anesthesia,Anesthesia for Procedures on the Spine and Spinal Cord,600,670,
5,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,700,797,
6,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,800,882,
7,Anesthesia,Anesthesia for Procedures on the Perineum,902,952,
8,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),1112,1173,
9,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),1200,1274,
10,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,1320,1444,
11,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),1462,1522,
12,Anesthesia,Anesthesia for Procedures on the Shoulder and Axilla,1610,1680,
13,Anesthesia,Anesthesia for Procedures on the Upper Arm and Elbow,1710,1782,
14,Anesthesia,"Anesthesia for Procedures on the Forearm, Wrist, and Hand",1810,1860,
15,Anesthesia,Anesthesia for Radiological Procedures,1916,1936,
16,Anesthesia,Anesthesia for Burn Excisions or Debridement Procedures,1951,1953,
17,Anesthesia,Anesthesia for Obstetric Procedures,1958,1969,
18,Anesthesia,Anesthesia for Other Procedures,1990,1999,
19,Surgery,General Surgical Procedures,10004,10021,
20,Surgery,Surgical Procedures on the Integumentary System,10030,19499,
21,Surgery,Surgical Procedures on the Musculoskeletal System,20100,29999,
22,Surgery,Surgical Procedures on the Respiratory System,30000,32999,
23,Surgery,Surgical Procedures on the Cardiovascular System,33016,37799,
24,Surgery,Surgical Procedures on the Hemic and Lymphatic Systems,38100,38999,
25,Surgery,Surgical Procedures on the Mediastinum and Diaphragm,39000,39599,
26,Surgery,Surgical Procedures on the Digestive System,40490,49999,
27,Surgery,Surgical Procedures on the Urinary System,50010,53899,
28,Surgery,Surgical Procedures on the Male Genital System,54000,55899,
29,Surgery,Reproductive System Procedures,55920,55920,
30,Surgery,Intersex Surgery,55970,55980,
31,Surgery,Surgical Procedures on the Female Genital System,56405,58999,
32,Surgery,Surgical Procedures for Maternity Care and Delivery,59000,59899,
33,Surgery,Surgical Procedures on the Endocrine System,60000,60699,
34,Surgery,Surgical Procedures on the Nervous System,61000,64999,
35,Surgery,Surgical Procedures on the Eye and Ocular Adnexa,65091,68899,
36,Surgery,Surgical Procedures on the Auditory System,69000,69979,
37,Surgery,Operating Microscope Procedures,69990,69990,
38,Radiology Procedures,Diagnostic Radiology (Diagnostic Imaging) Procedures,70010,76499,
39,Radiology Procedures,Diagnostic Ultrasound Procedures,76506,76999,
40,Radiology Procedures,Radiologic Guidance,77001,77022,
41,Radiology Procedures,"Breast, Mammography",77046,77067,
42,Radiology Procedures,Bone/Joint Studies,77071,77086,
43,Radiology Procedures,Radiation Oncology Treatment,77261,77799,
44,Radiology Procedures,Nuclear Medicine Procedures,78012,79999,
45,Pathology and Laoratory,Proprietary Laboratory Analyses,1,247,U
46,Pathology and Laoratory,Organ or Disease Oriented Panels,80047,80081,
47,Pathology and Laoratory,Therapeutic Drug Assays,80143,80377,
48,Pathology and Laoratory,Drug Assay Procedures,80305,83992,
